trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
14,False,"{'a': 0.4, 'e': 0.8687458127689783}",20,0,-44.87743386775362,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
15,False,"{'a': 0.4, 'e': 0.8600583546412885}",20,0,-50.815425040546415,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.4, 'e': 0.8514577710948756}",20,8,-69.29408567563114,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 1}",1
17,False,"{'a': 0.4, 'e': 0.8429431933839269}",25,8,-105.27818806213878,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 2}",1
18,False,"{'a': 0.4, 'e': 0.8345137614500876}",25,0,-175.8895640720809,"{0: 11, 1: 2, 2: 10, 3: 0, 4: 2}",0
19,False,"{'a': 0.4, 'e': 0.8261686238355868}",25,12,-24.193405045066662,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 0}",1
20,False,"{'a': 0.4, 'e': 0.8179069375972309}",20,0,-158.03821451627698,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
21,False,"{'a': 0.4, 'e': 0.8097278682212585}",20,0,-144.28016508596616,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
22,False,"{'a': 0.4, 'e': 0.801630589539046}",20,0,-51.0924147693231,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
23,False,"{'a': 0.4, 'e': 0.7936142836436555}",20,9,-32.309470584913974,"{0: 7, 1: 1, 2: 2, 3: 1, 4: 0}",1
24,False,"{'a': 0.4, 'e': 0.785678140807219}",25,0,-100.4755612383205,"{0: 14, 1: 1, 2: 8, 3: 2, 4: 0}",0
25,False,"{'a': 0.4, 'e': 0.7778213593991468}",20,0,-73.02691006562931,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
26,False,"{'a': 0.4, 'e': 0.7700431458051553}",20,0,-39.31658735628416,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
27,False,"{'a': 0.4, 'e': 0.7623427143471038}",25,6,-177.78708955858957,"{0: 9, 1: 0, 2: 5, 3: 3, 4: 2}",1
28,False,"{'a': 0.4, 'e': 0.7547192872036327}",20,0,-8.338029194189412,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
29,False,"{'a': 0.4, 'e': 0.7471720943315964}",35,25,1.6510995023568729,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.4, 'e': 0.7397003733882804}",30,0,-205.19215028406683,"{0: 18, 1: 2, 2: 6, 3: 0, 4: 4}",0
31,False,"{'a': 0.4, 'e': 0.7323033696543976}",35,0,-185.35555424890205,"{0: 22, 1: 4, 2: 5, 3: 1, 4: 3}",0
32,False,"{'a': 0.4, 'e': 0.7249803359578536}",25,0,-37.88996027981675,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
33,False,"{'a': 0.4, 'e': 0.717730532598275}",35,3,5.705892130820448,"{0: 29, 1: 1, 2: 1, 3: 1, 4: 0}",1
34,False,"{'a': 0.4, 'e': 0.7105532272722923}",25,0,-136.65705782526328,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
35,False,"{'a': 0.4, 'e': 0.7034476949995694}",20,12,-19.659641841356798,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 0}",1
36,False,"{'a': 0.4, 'e': 0.6964132180495737}",25,4,-40.211315986973695,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 1}",1
37,False,"{'a': 0.4, 'e': 0.6894490858690779}",20,0,-92.66844724625264,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
38,False,"{'a': 0.4, 'e': 0.6825545950103872}",20,0,-7.6523372968620595,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
39,False,"{'a': 0.4, 'e': 0.6757290490602833}",20,11,-39.28191090493241,"{0: 6, 1: 0, 2: 1, 3: 2, 4: 0}",1
40,False,"{'a': 0.4, 'e': 0.6689717585696805}",20,0,-95.41124470654184,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
41,False,"{'a': 0.4, 'e': 0.6622820409839837}",20,0,-127.08720635526305,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
42,False,"{'a': 0.4, 'e': 0.6556592205741438}",30,20,-17.182980278598716,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
43,False,"{'a': 0.4, 'e': 0.6491026283684024}",25,0,-107.14718198063773,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
44,False,"{'a': 0.4, 'e': 0.6426116020847183}",20,5,-79.54670877765686,"{0: 9, 1: 1, 2: 3, 3: 1, 4: 1}",1
45,False,"{'a': 0.4, 'e': 0.6361854860638712}",20,3,-64.49478009023174,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 1}",1
46,False,"{'a': 0.4, 'e': 0.6298236312032325}",20,0,-80.97033671335808,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
47,False,"{'a': 0.4, 'e': 0.6235253948912002}",30,0,-104.0643686599185,"{0: 22, 1: 2, 2: 4, 3: 0, 4: 2}",0
48,False,"{'a': 0.4, 'e': 0.6172901409422882}",20,1,-77.83430135548151,"{0: 14, 1: 0, 2: 2, 3: 2, 4: 1}",1
49,False,"{'a': 0.4, 'e': 0.6111172395328653}",20,8,-31.60777943554014,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
50,False,"{'a': 0.4, 'e': 0.6050060671375367}",20,0,-27.748052711268958,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
51,False,"{'a': 0.4, 'e': 0.5989560064661613}",20,0,-49.331001814329035,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
52,False,"{'a': 0.4, 'e': 0.5929664464014998}",20,0,-8.738123196994765,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
53,False,"{'a': 0.4, 'e': 0.5870367819374848}",20,0,-17.105523541971863,"{0: 16, 1: 3, 2: 0, 3: 1, 4: 0}",0
54,False,"{'a': 0.4, 'e': 0.5811664141181099}",20,0,-1.7394520009614722,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
55,False,"{'a': 0.4, 'e': 0.5753547499769288}",25,0,-39.828537774074235,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
56,False,"{'a': 0.4, 'e': 0.5696012024771595}",25,4,-50.448485418903935,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 1}",1
